name,share1,share10,share2,share3,share4,share5,share6,share7,share8,share9
Player 122,MEXICO,ARGENTINA,MEXICO,MEXICO,MEXICO,URUGUAY,URUGUAY,URUGUAY,URUGUAY,ARGENTINA
Player 123,ARGENTINA,BRAZIL,ARGENTINA,ENGLAND,ENGLAND,SERBIA,CROATIA,SENEGAL,SENEGAL,BRAZIL
Player 124,ARGENTINA,PORTUGAL,CROATIA,ENGLAND,FRANCE,GERMANY,POLAND,SERBIA,URUGUAY,SPAIN
Player 125,PORTUGAL,ARGENTINA,QATAR,CROATIA,NETHERLANDS,BRAZIL,ENGLAND,GERMANY,SPAIN,ARGENTINA
Player 126,PORTUGAL,NETHERLANDS,PORTUGAL,BRAZIL,BRAZIL,BELGIUM,ENGLAND,FRANCE,GERMANY,SPAIN
Player 127,BRAZIL,SPAIN,ARGENTINA,ARGENTINA,ARGENTINA,FRANCE,FRANCE,FRANCE,SPAIN,SPAIN
Player 128,SPAIN,POLAND,SPAIN,CROATIA,SAUDI ARABIA,SPAIN,ENGLAND,ENGLAND,ENGLAND,BELGIUM
Player 129,BRAZIL,POLAND,BELGIUM,FRANCE,ENGLAND,NETHERLANDS,NETHERLANDS,DENMARK,URUGUAY,WALES
Player 130,PORTUGAL,URUGUAY,PORTUGAL,BRAZIL,SENEGAL,IRAN,SERBIA,DENMARK,ARGENTINA,MOROCCO
Player 131,ARGENTINA,BRAZIL,ARGENTINA,FRANCE,FRANCE,SPAIN,GERMANY,GERMANY,BELGIUM,BRAZIL
Player 132,BRAZIL,PORTUGAL,ARGENTINA,FRANCE,GERMANY,NETHERLANDS,SPAIN,ENGLAND,BELGIUM,SERBIA
Player 133,ARGENTINA,BELGIUM,ARGENTINA,BRAZIL,BRAZIL,ENGLAND,ENGLAND,BELGIUM,BELGIUM,BELGIUM
Player 134,ARGENTINA,SERBIA,PORTUGAL,GERMANY,SERBIA,BRAZIL,BELGIUM,FRANCE,ARGENTINA,PORTUGAL
Player 135,NETHERLANDS,POLAND,NETHERLANDS,NETHERLANDS,BELGIUM,BELGIUM,BELGIUM,BRAZIL,BRAZIL,GHANA
Player 136,WALES,URUGUAY,WALES,SPAIN,SPAIN,FRANCE,FRANCE,SENEGAL,SENEGAL,URUGUAY
Player 137,SPAIN,BRAZIL,SPAIN,SPAIN,SPAIN,NETHERLANDS,NETHERLANDS,BRAZIL,SOUTH KOREA,WALES
Player 138,URUGUAY,GERMANY,POLAND,POLAND,NETHERLANDS,CROATIA,NETHERLANDS,WALES,URUGUAY,GERMANY
Player 139,ARGENTINA,NETHERLANDS,ARGENTINA,BRAZIL,BRAZIL,FRANCE,FRANCE,BELGIUM,ENGLAND,ENGLAND
Player 140,SERBIA,ENGLAND,SERBIA,SERBIA,CROATIA,CROATIA,CROATIA,GERMANY,GERMANY,ENGLAND
Player 141,BRAZIL,SENEGAL,BRAZIL,ARGENTINA,ARGENTINA,GERMANY,GERMANY,CANADA,CANADA,SENEGAL
Player 142,ARGENTINA,SWITZERLAND,ENGLAND,URUGUAY,USA,JAPAN,SERBIA,DENMARK,MOROCCO,NETHERLANDS
Player 143,MEXICO,SWITZERLAND,MEXICO,MEXICO,MEXICO,BELGIUM,BELGIUM,BELGIUM,BELGIUM,SWITZERLAND
