name,share1,share10,share2,share3,share4,share5,share6,share7,share8,share9
Player 33,NETHERLANDS,SERBIA,NETHERLANDS,NETHERLANDS,SERBIA,URUGUAY,CAMEROON,DENMARK,MEXICO,URUGUAY
Player 34,NETHERLANDS,GHANA,WALES,POLAND,DENMARK,GERMANY,GERMANY,CANADA,SWITZERLAND,URUGUAY
Player 35,BRAZIL,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,BELGIUM,BELGIUM,BELGIUM,BELGIUM,ARGENTINA
Player 36,WALES,FRANCE,SENEGAL,SERBIA,BRAZIL,BRAZIL,BELGIUM,FRANCE,WALES,SENEGAL
Player 37,MEXICO,PORTUGAL,USA,USA,ARGENTINA,BRAZIL,BRAZIL,BRAZIL,BELGIUM,BELGIUM
Player 38,DENMARK,POLAND,DENMARK,BELGIUM,BELGIUM,URUGUAY,GHANA,BRAZIL,BRAZIL,BRAZIL
Player 39,WALES,ARGENTINA,WALES,WALES,WALES,PORTUGAL,PORTUGAL,PORTUGAL,ARGENTINA,ARGENTINA
Player 40,SERBIA,QATAR,SERBIA,FRANCE,FRANCE,FRANCE,DENMARK,POLAND,ENGLAND,ENGLAND
Player 41,SENEGAL,BELGIUM,WALES,ARGENTINA,DENMARK,SPAIN,CROATIA,GERMANY,URUGUAY,BELGIUM
Player 42,ARGENTINA,BRAZIL,ARGENTINA,ARGENTINA,ARGENTINA,URUGUAY,URUGUAY,SOUTH KOREA,SOUTH KOREA,BRAZIL
Player 43,GERMANY,PORTUGAL,GERMANY,GERMANY,ARGENTINA,ARGENTINA,ARGENTINA,BRAZIL,BRAZIL,PORTUGAL
Player 44,ENGLAND,WALES,ARGENTINA,DENMARK,SPAIN,BRAZIL,CANADA,FRANCE,GERMANY,NETHERLANDS
Player 45,ARGENTINA,SWITZERLAND,ARGENTINA,BRAZIL,BRAZIL,FRANCE,FRANCE,PORTUGAL,GERMANY,ENGLAND
Player 46,GERMANY,BRAZIL,GERMANY,GERMANY,ARGENTINA,ARGENTINA,ARGENTINA,PORTUGAL,PORTUGAL,FRANCE
Player 47,BRAZIL,URUGUAY,BRAZIL,BRAZIL,FRANCE,ARGENTINA,ARGENTINA,ARGENTINA,ARGENTINA,FRANCE
Player 48,ARGENTINA,SPAIN,ARGENTINA,PORTUGAL,PORTUGAL,GERMANY,SENEGAL,FRANCE,FRANCE,BRAZIL
Player 49,BRAZIL,ARGENTINA,BRAZIL,BRAZIL,FRANCE,FRANCE,FRANCE,ENGLAND,ENGLAND,ARGENTINA
Player 50,NETHERLANDS,GHANA,ARGENTINA,DENMARK,SENEGAL,GERMANY,BRAZIL,BELGIUM,SERBIA,ENGLAND
Player 51,NETHERLANDS,SPAIN,NETHERLANDS,NETHERLANDS,DENMARK,DENMARK,DENMARK,CROATIA,CROATIA,SPAIN
Player 52,BELGIUM,GERMANY,BELGIUM,BELGIUM,BELGIUM,CROATIA,CROATIA,GERMANY,GERMANY,GERMANY
Player 53,SERBIA,BRAZIL,MOROCCO,FRANCE,SPAIN,SENEGAL,NETHERLANDS,ENGLAND,ARGENTINA,QATAR
Player 54,SERBIA,SERBIA,SERBIA,CROATIA,CROATIA,USA,ARGENTINA,ARGENTINA,USA,WALES
Player 55,GERMANY,NETHERLANDS,BELGIUM,MOROCCO,CANADA,JAPAN,BRAZIL,CAMEROON,TUNISIA,ARGENTINA
Player 56,ARGENTINA,FRANCE,PORTUGAL,BRAZIL,FRANCE,ARGENTINA,PORTUGAL,SPAIN,BRAZIL,BRAZIL
Player 57,SWITZERLAND,URUGUAY,SWITZERLAND,USA,USA,GERMANY,GERMANY,SENEGAL,POLAND,CROATIA
Player 58,ARGENTINA,MOROCCO,ARGENTINA,FRANCE,FRANCE,SWITZERLAND,SWITZERLAND,JAPAN,JAPAN,MOROCCO
Player 59,PORTUGAL,NETHERLANDS,URUGUAY,SERBIA,CROATIA,POLAND,GERMANY,ENGLAND,URUGUAY,DENMARK
Player 60,BRAZIL,GERMANY,BRAZIL,FRANCE,FRANCE,FRANCE,DENMARK,DENMARK,GERMANY,GERMANY
Player 61,ENGLAND,PORTUGAL,GERMANY,BRAZIL,BRAZIL,DENMARK,BELGIUM,USA,WALES,CROATIA
Player 62,NETHERLANDS,ARGENTINA,ENGLAND,GERMANY,BELGIUM,FRANCE,CROATIA,SWITZERLAND,BRAZIL,ENGLAND
Player 63,BRAZIL,GERMANY,BRAZIL,BELGIUM,BELGIUM,FRANCE,FRANCE,ENGLAND,ENGLAND,NETHERLANDS
Player 64,ENGLAND,NETHERLANDS,ENGLAND,ENGLAND,ENGLAND,BELGIUM,BELGIUM,ARGENTINA,ARGENTINA,PORTUGAL
Player 65,BELGIUM,SPAIN,BRAZIL,ENGLAND,FRANCE,FRANCE,GHANA,GHANA,NETHERLANDS,SENEGAL
Player 66,ARGENTINA,BRAZIL,BRAZIL,FRANCE,GERMANY,ARGENTINA,ARGENTINA,BRAZIL,GERMANY,FRANCE
Player 67,QATAR,ENGLAND,USA,DENMARK,MEXICO,PORTUGAL,PORTUGAL,BRAZIL,SENEGAL,BRAZIL
Player 68,BELGIUM,BRAZIL,BELGIUM,NETHERLANDS,NETHERLANDS,NETHERLANDS,MEXICO,GERMANY,GERMANY,ARGENTINA
Player 69,FRANCE,ENGLAND,ARGENTINA,ARGENTINA,FRANCE,GERMANY,PORTUGAL,PORTUGAL,ENGLAND,ENGLAND
Player 70,ARGENTINA,SERBIA,BRAZIL,FRANCE,CROATIA,SERBIA,CROATIA,GHANA,BELGIUM,SENEGAL
Player 71,FRANCE,BELGIUM,FRANCE,FRANCE,PORTUGAL,PORTUGAL,PORTUGAL,BRAZIL,ENGLAND,NETHERLANDS
Player 72,ARGENTINA,SPAIN,ENGLAND,AUSTRALIA,BELGIUM,BRAZIL,PORTUGAL,URUGUAY,CROATIA,GERMANY
Player 73,ARGENTINA,BRAZIL,ARGENTINA,ARGENTINA,ARGENTINA,GERMANY,GERMANY,GERMANY,BRAZIL,BRAZIL
Player 74,IRAN,USA,IRAN,IRAN,IRAN,CANADA,CANADA,CANADA,CANADA,USA
Player 75,ARGENTINA,ARGENTINA,ARGENTINA,FRANCE,GERMANY,NETHERLANDS,NETHERLANDS,BRAZIL,BRAZIL,NETHERLANDS
Player 76,DENMARK,DENMARK,ARGENTINA,ARGENTINA,ARGENTINA,DENMARK,BRAZIL,BRAZIL,BRAZIL,DENMARK
Player 77,FRANCE,SAUDI ARABIA,FRANCE,SPAIN,SPAIN,BRAZIL,BRAZIL,NETHERLANDS,GHANA,QATAR
Player 78,QATAR,SOUTH KOREA,ECUADOR,SENEGAL,ARGENTINA,GERMANY,TUNISIA,PORTUGAL,GHANA,URUGUAY
