,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,478
2,<span style="color: gold;"><b>ARGENTINA</b></span>,478
3,AUSTRALIA,125
4,AUSTRALIA,125
5,AUSTRALIA,125
6,AUSTRALIA,125
7,CAMEROON,300
8,ECUADOR,375
9,IRAN,111
10,IRAN,111
