,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,BELGIUM,25
3,BRAZIL,37
4,DENMARK,10
5,ENGLAND,79
6,<span style="color: silver;"><b>FRANCE</b></span>,187
7,GERMANY,21
8,NETHERLANDS,79
9,PORTUGAL,68
10,SPAIN,43
