,<b>Team</b>,<b>Points</b>
1,<span style="color: silver;"><b>FRANCE</b></span>,187
2,<span style="color: silver;"><b>FRANCE</b></span>,187
3,MEXICO,94
4,MOROCCO,950
5,POLAND,95
6,POLAND,95
7,SERBIA,14
8,URUGUAY,41
9,WALES,45
10,WALES,45
