,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,<span style="color: gold;"><b>ARGENTINA</b></span>,246
3,<span style="color: gold;"><b>ARGENTINA</b></span>,246
4,BELGIUM,25
5,BRAZIL,37
6,BRAZIL,37
7,ENGLAND,79
8,NETHERLANDS,79
9,SERBIA,14
10,URUGUAY,41
