,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,BELGIUM,25
3,BRAZIL,37
4,CAMEROON,250
5,CANADA,0
6,GERMANY,21
7,JAPAN,500
8,MOROCCO,950
9,NETHERLANDS,79
10,TUNISIA,500
