,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,BRAZIL,20
3,DENMARK,5
4,IRAN,43
5,MOROCCO,396
6,PORTUGAL,46
7,PORTUGAL,46
8,SENEGAL,24
9,SERBIA,8
10,URUGUAY,17
