,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,BELGIUM,13
4,BELGIUM,13
5,DENMARK,5
6,DENMARK,5
7,GERMANY,11
8,GHANA,38
9,SENEGAL,24
10,URUGUAY,17
