,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,BELGIUM,13
4,BRAZIL,20
5,BRAZIL,20
6,ENGLAND,40
7,<span style="color: silver;"><b>FRANCE</b></span>,106
8,GERMANY,11
9,NETHERLANDS,43
10,URUGUAY,17
