,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,BRAZIL,20
3,DENMARK,5
4,ENGLAND,40
5,<span style="color: silver;"><b>FRANCE</b></span>,106
6,GERMANY,11
7,MEXICO,28
8,POLAND,65
9,SENEGAL,24
10,SENEGAL,24
