,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,BELGIUM,13
3,BELGIUM,13
4,DENMARK,5
5,GERMANY,11
6,GERMANY,11
7,NETHERLANDS,43
8,SWITZERLAND,62
9,USA,54
10,URUGUAY,17
