,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,<span style="color: gold;"><b>ARGENTINA</b></span>,125
4,BRAZIL,20
5,<span style="color: silver;"><b>FRANCE</b></span>,106
6,<span style="color: silver;"><b>FRANCE</b></span>,106
7,<span style="color: silver;"><b>FRANCE</b></span>,106
8,SPAIN,21
9,SPAIN,21
10,SPAIN,21
