,<b>Team</b>,<b>Points</b>
1,AUSTRALIA,125
2,COSTA RICA,83
3,COSTA RICA,83
4,JAPAN,68
5,MOROCCO,110
6,MOROCCO,110
7,MOROCCO,110
8,MOROCCO,110
9,SENEGAL,208
10,SOUTH KOREA,77
