,<b>Team</b>,<b>Points</b>
1,BELGIUM,13
2,BELGIUM,13
3,<span style="color: brown;"><b>CROATIA</b></span>,216
4,<span style="color: brown;"><b>CROATIA</b></span>,216
5,SENEGAL,24
6,SENEGAL,24
7,SERBIA,8
8,SPAIN,21
9,URUGUAY,17
10,WALES,11
