,<b>Team</b>,<b>Points</b>
1,AUSTRALIA,208
2,BELGIUM,13
3,BRAZIL,20
4,CAMEROON,188
5,ECUADOR,50
6,ENGLAND,40
7,GERMANY,11
8,SAUDI ARABIA,250
9,SENEGAL,24
10,USA,54
