,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,BRAZIL,37
3,CANADA,0
4,DENMARK,10
5,ENGLAND,79
6,<span style="color: silver;"><b>FRANCE</b></span>,187
7,GERMANY,21
8,NETHERLANDS,79
9,SPAIN,43
10,WALES,45
