,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,BELGIUM,25
3,BELGIUM,25
4,<span style="color: brown;"><b>CROATIA</b></span>,481
5,DENMARK,10
6,GERMANY,21
7,SENEGAL,89
8,SPAIN,43
9,URUGUAY,41
10,WALES,45
