,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,478
2,BRAZIL,263
3,<span style="color: brown;"><b>CROATIA</b></span>,202
4,<span style="color: brown;"><b>CROATIA</b></span>,202
5,<span style="color: silver;"><b>FRANCE</b></span>,486
6,MOROCCO,110
7,MOROCCO,110
8,NETHERLANDS,289
9,NETHERLANDS,289
10,NETHERLANDS,289
