,<b>Team</b>,<b>Points</b>
1,BELGIUM,25
2,BELGIUM,25
3,DENMARK,10
4,GERMANY,21
5,POLAND,95
6,POLAND,95
7,SENEGAL,89
8,SERBIA,14
9,SWITZERLAND,250
10,WALES,45
