,<b>Team</b>,<b>Points</b>
1,BELGIUM,25
2,BRAZIL,37
3,CAMEROON,250
4,ENGLAND,79
5,GERMANY,21
6,IRAN,500
7,NETHERLANDS,79
8,PORTUGAL,68
9,QATAR,0
10,USA,119
