,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,BRAZIL,20
3,BRAZIL,20
4,DENMARK,5
5,ENGLAND,40
6,ENGLAND,40
7,PORTUGAL,46
8,USA,54
9,USA,54
10,URUGUAY,17
