,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,AUSTRALIA,208
4,AUSTRALIA,208
5,<span style="color: silver;"><b>FRANCE</b></span>,106
6,<span style="color: silver;"><b>FRANCE</b></span>,106
7,SENEGAL,24
8,SENEGAL,24
9,SOUTH KOREA,167
10,WALES,11
