,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,BRAZIL,20
4,BRAZIL,20
5,<span style="color: brown;"><b>CROATIA</b></span>,216
6,ENGLAND,40
7,ENGLAND,40
8,SENEGAL,24
9,SENEGAL,24
10,SERBIA,8
