,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,<span style="color: brown;"><b>CROATIA</b></span>,481
3,ENGLAND,79
4,<span style="color: silver;"><b>FRANCE</b></span>,187
5,GERMANY,21
6,POLAND,95
7,PORTUGAL,68
8,SERBIA,14
9,SPAIN,43
10,URUGUAY,41
