,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,CANADA,0
4,ENGLAND,40
5,ENGLAND,40
6,<span style="color: silver;"><b>FRANCE</b></span>,106
7,<span style="color: silver;"><b>FRANCE</b></span>,106
8,NETHERLANDS,43
9,NETHERLANDS,43
10,PORTUGAL,46
