,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,<span style="color: gold;"><b>ARGENTINA</b></span>,125
4,BRAZIL,20
5,BRAZIL,20
6,ENGLAND,40
7,ENGLAND,40
8,ENGLAND,40
9,ENGLAND,40
10,PORTUGAL,46
