,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,BRAZIL,37
3,DENMARK,10
4,ENGLAND,79
5,<span style="color: silver;"><b>FRANCE</b></span>,187
6,GERMANY,21
7,MEXICO,94
8,POLAND,95
9,SENEGAL,89
10,SENEGAL,89
