,<b>Team</b>,<b>Points</b>
1,AUSTRALIA,125
2,AUSTRALIA,125
3,<span style="color: brown;"><b>CROATIA</b></span>,202
4,<span style="color: brown;"><b>CROATIA</b></span>,202
5,<span style="color: brown;"><b>CROATIA</b></span>,202
6,JAPAN,68
7,JAPAN,68
8,MOROCCO,110
9,MOROCCO,110
10,MOROCCO,110
