,<b>Team</b>,<b>Points</b>
1,BELGIUM,25
2,BRAZIL,37
3,ENGLAND,79
4,<span style="color: silver;"><b>FRANCE</b></span>,187
5,<span style="color: silver;"><b>FRANCE</b></span>,187
6,GHANA,111
7,GHANA,111
8,NETHERLANDS,79
9,SENEGAL,89
10,SPAIN,43
