,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,DENMARK,10
3,ENGLAND,79
4,JAPAN,500
5,MOROCCO,950
6,NETHERLANDS,79
7,SERBIA,14
8,SWITZERLAND,250
9,USA,119
10,URUGUAY,41
