,<b>Team</b>,<b>Points</b>
1,BRAZIL,20
2,BRAZIL,20
3,DENMARK,5
4,DENMARK,5
5,<span style="color: silver;"><b>FRANCE</b></span>,106
6,<span style="color: silver;"><b>FRANCE</b></span>,106
7,<span style="color: silver;"><b>FRANCE</b></span>,106
8,GERMANY,11
9,GERMANY,11
10,GERMANY,11
