,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,478
2,<span style="color: gold;"><b>ARGENTINA</b></span>,478
3,<span style="color: gold;"><b>ARGENTINA</b></span>,478
4,<span style="color: brown;"><b>CROATIA</b></span>,202
5,<span style="color: silver;"><b>FRANCE</b></span>,486
6,IRAN,111
7,JAPAN,68
8,JAPAN,68
9,MOROCCO,110
10,POLAND,333
