,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,BELGIUM,13
3,BELGIUM,13
4,BELGIUM,13
5,BRAZIL,20
6,ENGLAND,40
7,<span style="color: silver;"><b>FRANCE</b></span>,106
8,GERMANY,11
9,PORTUGAL,46
10,SPAIN,21
