,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,ENGLAND,40
4,<span style="color: silver;"><b>FRANCE</b></span>,106
5,<span style="color: silver;"><b>FRANCE</b></span>,106
6,GERMANY,11
7,GERMANY,11
8,IRAN,43
9,IRAN,43
10,SPAIN,21
