,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,BRAZIL,20
4,<span style="color: silver;"><b>FRANCE</b></span>,106
5,<span style="color: silver;"><b>FRANCE</b></span>,106
6,GERMANY,11
7,PORTUGAL,46
8,PORTUGAL,46
9,SENEGAL,24
10,SPAIN,21
