,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,GHANA,38
4,GHANA,38
5,MEXICO,28
6,MEXICO,28
7,NETHERLANDS,43
8,NETHERLANDS,43
9,SERBIA,8
10,SERBIA,8
