,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,BELGIUM,25
3,CANADA,0
4,DENMARK,10
5,<span style="color: silver;"><b>FRANCE</b></span>,187
6,GERMANY,21
7,MOROCCO,950
8,POLAND,95
9,SWITZERLAND,250
10,USA,119
