,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,ECUADOR,250
3,GERMANY,21
4,GHANA,111
5,PORTUGAL,68
6,QATAR,0
7,SENEGAL,89
8,SOUTH KOREA,500
9,TUNISIA,500
10,URUGUAY,41
