,<b>Team</b>,<b>Points</b>
1,BELGIUM,13
2,BRAZIL,20
3,DENMARK,5
4,ENGLAND,40
5,<span style="color: silver;"><b>FRANCE</b></span>,106
6,NETHERLANDS,43
7,NETHERLANDS,43
8,POLAND,65
9,URUGUAY,17
10,WALES,11
