,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,BRAZIL,20
3,<span style="color: brown;"><b>CROATIA</b></span>,216
4,DENMARK,5
5,MEXICO,28
6,MOROCCO,396
7,NETHERLANDS,43
8,NETHERLANDS,43
9,SPAIN,21
10,URUGUAY,17
