,<b>Team</b>,<b>Points</b>
1,BRAZIL,20
2,<span style="color: brown;"><b>CROATIA</b></span>,216
3,MEXICO,28
4,SENEGAL,24
5,SENEGAL,24
6,SPAIN,21
7,SPAIN,21
8,SPAIN,21
9,URUGUAY,17
10,URUGUAY,17
