,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,BELGIUM,13
3,BELGIUM,13
4,COSTA RICA,125
5,<span style="color: brown;"><b>CROATIA</b></span>,216
6,<span style="color: brown;"><b>CROATIA</b></span>,216
7,<span style="color: silver;"><b>FRANCE</b></span>,106
8,<span style="color: silver;"><b>FRANCE</b></span>,106
9,<span style="color: silver;"><b>FRANCE</b></span>,106
10,<span style="color: silver;"><b>FRANCE</b></span>,106
