,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,DENMARK,5
4,IRAN,43
5,SENEGAL,24
6,SPAIN,21
7,SPAIN,21
8,SPAIN,21
9,SWITZERLAND,62
10,URUGUAY,17
