,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,478
2,BRAZIL,263
3,<span style="color: brown;"><b>CROATIA</b></span>,202
4,ENGLAND,786
5,<span style="color: silver;"><b>FRANCE</b></span>,486
6,MOROCCO,110
7,NETHERLANDS,289
8,PORTUGAL,312
9,PORTUGAL,312
10,PORTUGAL,312
