,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,478
2,<span style="color: gold;"><b>ARGENTINA</b></span>,478
3,ENGLAND,786
4,MOROCCO,110
5,MOROCCO,110
6,MOROCCO,110
7,MOROCCO,110
8,NETHERLANDS,289
9,NETHERLANDS,289
10,PORTUGAL,312
