,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,<span style="color: gold;"><b>ARGENTINA</b></span>,125
4,BELGIUM,13
5,BELGIUM,13
6,BRAZIL,20
7,BRAZIL,20
8,BRAZIL,20
9,NETHERLANDS,43
10,NETHERLANDS,43
