,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,<span style="color: gold;"><b>ARGENTINA</b></span>,246
3,<span style="color: gold;"><b>ARGENTINA</b></span>,246
4,PORTUGAL,68
5,PORTUGAL,68
6,PORTUGAL,68
7,SPAIN,43
8,SPAIN,43
9,SPAIN,43
10,URUGUAY,41
