,<b>Team</b>,<b>Points</b>
1,<span style="color: silver;"><b>FRANCE</b></span>,106
2,<span style="color: silver;"><b>FRANCE</b></span>,106
3,MEXICO,28
4,MOROCCO,396
5,POLAND,65
6,POLAND,65
7,SERBIA,8
8,URUGUAY,17
9,WALES,11
10,WALES,11
