,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,246
2,BRAZIL,37
3,DENMARK,10
4,IRAN,500
5,MOROCCO,950
6,PORTUGAL,68
7,PORTUGAL,68
8,SENEGAL,89
9,SERBIA,14
10,URUGUAY,41
