,<b>Team</b>,<b>Points</b>
1,<span style="color: brown;"><b>CROATIA</b></span>,481
2,DENMARK,10
3,GERMANY,21
4,GERMANY,21
5,MEXICO,94
6,PORTUGAL,68
7,PORTUGAL,68
8,SWITZERLAND,250
9,USA,119
10,URUGUAY,41
