,<b>Team</b>,<b>Points</b>
1,BELGIUM,13
2,BELGIUM,13
3,CANADA,0
4,DENMARK,5
5,GHANA,38
6,NETHERLANDS,43
7,NETHERLANDS,43
8,NETHERLANDS,43
9,USA,54
10,USA,54
