,<b>Team</b>,<b>Points</b>
1,<span style="color: brown;"><b>CROATIA</b></span>,216
2,<span style="color: brown;"><b>CROATIA</b></span>,216
3,<span style="color: brown;"><b>CROATIA</b></span>,216
4,ENGLAND,40
5,ENGLAND,40
6,GERMANY,11
7,GERMANY,11
8,SERBIA,8
9,SERBIA,8
10,SERBIA,8
