,<b>Team</b>,<b>Points</b>
1,<span style="color: silver;"><b>FRANCE</b></span>,106
2,<span style="color: silver;"><b>FRANCE</b></span>,106
3,SENEGAL,24
4,SENEGAL,24
5,SPAIN,21
6,SPAIN,21
7,URUGUAY,17
8,URUGUAY,17
9,WALES,11
10,WALES,11
