,<b>Team</b>,<b>Points</b>
1,BELGIUM,13
2,BRAZIL,20
3,CANADA,0
4,CANADA,0
5,<span style="color: silver;"><b>FRANCE</b></span>,106
6,GERMANY,11
7,GERMANY,11
8,GERMANY,11
9,SPAIN,21
10,WALES,11
