,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,BRAZIL,20
4,BRAZIL,20
5,GERMANY,11
6,MEXICO,28
7,PORTUGAL,46
8,PORTUGAL,46
9,SENEGAL,24
10,SPAIN,21
