,<b>Team</b>,<b>Points</b>
1,BELGIUM,25
2,<span style="color: brown;"><b>CROATIA</b></span>,481
3,ENGLAND,79
4,ENGLAND,79
5,ENGLAND,79
6,POLAND,95
7,SAUDI ARABIA,333
8,SPAIN,43
9,SPAIN,43
10,SPAIN,43
