,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,MEXICO,28
4,MEXICO,28
5,MEXICO,28
6,MEXICO,28
7,URUGUAY,17
8,URUGUAY,17
9,URUGUAY,17
10,URUGUAY,17
