,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: gold;"><b>ARGENTINA</b></span>,125
3,BRAZIL,20
4,BRAZIL,20
5,<span style="color: silver;"><b>FRANCE</b></span>,106
6,GERMANY,11
7,POLAND,65
8,PORTUGAL,46
9,SENEGAL,24
10,SENEGAL,24
