,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: brown;"><b>CROATIA</b></span>,216
3,ENGLAND,40
4,<span style="color: silver;"><b>FRANCE</b></span>,106
5,GERMANY,11
6,POLAND,65
7,PORTUGAL,46
8,SERBIA,8
9,SPAIN,21
10,URUGUAY,17
