,<b>Team</b>,<b>Points</b>
1,CAMEROON,188
2,DENMARK,5
3,MEXICO,28
4,MEXICO,28
5,MEXICO,28
6,MEXICO,28
7,MOROCCO,396
8,PORTUGAL,46
9,USA,54
10,USA,54
