,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,478
2,<span style="color: gold;"><b>ARGENTINA</b></span>,478
3,JAPAN,68
4,JAPAN,68
5,MOROCCO,110
6,MOROCCO,110
7,MOROCCO,110
8,POLAND,333
9,POLAND,333
10,SOUTH KOREA,77
