,<b>Team</b>,<b>Points</b>
1,<span style="color: gold;"><b>ARGENTINA</b></span>,125
2,<span style="color: silver;"><b>FRANCE</b></span>,106
3,<span style="color: silver;"><b>FRANCE</b></span>,106
4,GERMANY,11
5,GHANA,38
6,JAPAN,150
7,QATAR,0
8,QATAR,0
9,SERBIA,8
10,SERBIA,8
