,<b>Team</b>,<b>Points</b>
1,<span style="color: brown;"><b>CROATIA</b></span>,216
2,DENMARK,5
3,GERMANY,11
4,GERMANY,11
5,MEXICO,28
6,PORTUGAL,46
7,PORTUGAL,46
8,SWITZERLAND,62
9,USA,54
10,URUGUAY,17
